NAME,CATEGORY,VIEW1PERMISSION1,VIEW1PERMISSION2,VIEW1PERMISSION3,VIEW1PERMISSION4,VIEW1PERMISSION5
"""YoPay Service""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MyClassAdmin""","[""education"",""learning-development""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Educal""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MoveMe""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ngDesk""","[""customer-service""]","""Settings""","""Profile & Contact Information""",,,
"""IMSTRONG""","[""health-care"",""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Science Media""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Smoothly Stg""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""CourseOS""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""myVax""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Nesso Community""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Circa""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""eXpertly""","[""marketing""]",,,,,
"""WeZum""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Muze Music""","[""social-activities""]",,,,,
"""Obsidian Security""","[""content-and-compliance""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""Equeo Paid Account""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VMware Edge Network Intelligence""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""BusyCal""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Simplero""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ScheduleOnce""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""IntakeQ""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Meetgeek AI""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Coubic""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Eventbrite""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""AEvent""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Gitlab""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Class for Administrators""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""INSIDE Your Business""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Donut""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Grain""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Whova EMS""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""AI GIJIROKU""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Schoox Academy Integration Zoom Meeting""","[""education"",""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Drift""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Continu""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""FACTS SIS""","[""education"",""learning-development""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Eloqua""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Boomerang for Gmail""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""myViewBoard""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""NoPaperForms""","[""crm"",""education""]","""Settings""","""Profile & Contact Information""",,,
"""i-web""","[""human-resources"",""productivity"",""scheduling-calendar""]",,,,,
"""Coursera""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Disco""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pillar""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Donations by Pledge""","[""eCommerce"",""eCommerce"",""eCommerce""]","""Settings""","""Profile & Contact Information""",,,
"""Coda App""","[""team-collaborations""]","""Product Usage""",,,,
"""LearnQ.ai""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Aircover""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Live by IPSTUDIO""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Nimbo Telehealth""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Scheduler""","[""scheduling-calendar""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Jira Plugin for Zoom Meetings and Recordings""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CozyCal Scheduling""","[""scheduling-calendar""]","""Profile & Contact Information""",,,,
"""SS&C Intralinks""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SUMO Scheduler""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Wrapsody eCo Connector""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MinhaSala""","[""learning-development""]",,,,,
"""Qlick for Zoom""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Mobile Text Alerts - SMS Reminders""","[""health-care"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""EngageCE Conversation Engine""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VIVIT LINK""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Spontivly""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Dewo""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Workona Quick Create""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Cassyni""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Tetra Insights""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Meeting Minutes""","[""productivity"",""recording-transcriptions"",""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""JD Create Meetings""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SanaFitness""","[""health-care"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""OptimizePress""","[""marketing""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Autodesk Construction Cloud""","[""team-collaborations""]",,,,,
"""IntervalCam""","[""social-activities""]","""Settings""","""Profile & Contact Information""",,,
"""Cabinet - Software for Assistants""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Magic Moment Playbook""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Thalamus""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""IlmSquare-OAUth""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MySCP""","[""sales-automation""]",,,,,
"""Arc Studio""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""BlueCamroo""","[""crm""]","""Profile & Contact Information""",,,,
"""CurAlly Ph""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Demiks Admin""","[""crm"",""education""]","""Settings""","""Profile & Contact Information""",,,
"""Alexa for Zoom Rooms""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""MootUp Meetings in VR for Zoom""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""HuddleUp Scheduling""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Professional E-Mail Suite""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Zoom for InflowKit Shopify app""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Asite""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Practera""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SkillMil""","[""customer-service"",""education""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""AugmentED""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Degree Analytics""","[""analytics"",""education""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Fanconvo""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Beecome""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Hacosco Tour""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Optimiser.io""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Starchive""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Spacecubed""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""StyleForSubstance-MeetingOrganizer""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SoloClic.com""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Sniperhire""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Tegoora Supplier""","[""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Askchat""","[""eventmanagement"",""health-care""]","""Settings""","""Profile & Contact Information""",,,
"""Meet&Greet""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Sinorbis""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Stellarlane""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Blast""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""APIANT for Zoom Admins""","[""productivity""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""Intello""","[""analytics""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Okta Identity""","[""content-and-compliance""]",,,,,
"""#AskAway""","[""games""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pardot""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Spark""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""NGP VAN + EveryAction Webinars""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pipedrive""","[""crm""]",,,,,
"""Zoom Webinars for WooCommerce""","[""eCommerce""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Bookwhen""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pillar Admin""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Wingman""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Mentimeter""","[""education"",""team-collaborations""]","""Product Usage""",,,,
"""Montara""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""OfficeSpace Software App""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Zoom Rooms Controller""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""meetings.fun - party, trivia, games""","[""games"",""learning-development"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Linius Whizzard""","[""recording-transcriptions""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Experiences App""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Fooji""","[""marketing""]","""Content""",,,,
"""Yesware""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Vagaro Pro""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""wordly""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Boom Calendar""","[""customer-service""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Side Door""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Modjo for Zoom Phone""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Device Information""",,
"""SchoolTracs Sync""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""TutorCruncher""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""Gymternet""","[""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Illumine Connect""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Partners Office""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""WodBuster""","[""crm"",""health-care""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Click & Pledge""","[""eCommerce"",""education""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Soar - for individual accounts""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Omnify""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Rock - stop slacking, start rocking""","[""productivity""]","""Profile & Contact Information""",,,,
"""Sonero.ai""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""cloudstudios""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Terminland""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""24Edu""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ravmesser Zoom Plugin""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Soar Audio for Admins""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ethnio""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""aulas""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CYBERCHAT""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Agendex""","[""eventmanagement"",""scheduling-calendar"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Vyte Scheduling""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""WeTeachMe""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Rewatch for You""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zimbra Cloud Integration""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""DermEngine""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VBOUT""","[""marketing""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Remind""","[""education"",""learning-development""]",,,,,
"""Shopify Courses by Architechpro""","[""education"",""eventmanagement"",""learning-development"",""scheduling-calendar""]",,,,,
"""StreamAnchor""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Flixier""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Tabtastic""","[""scheduling-calendar""]",,,,,
"""WakaTime""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""GoalsMapper""","[""eCommerce""]","""Settings""","""Profile & Contact Information""",,,
"""Capture - Cloud Recording Transfers""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Piktostory""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zoom for Raisers Edge NXT""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Water Cooler Monster""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Tanbuu""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Tactic""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Confluence Plugin For Zoom Recordings""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Qwoach""","[""productivity"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Trengo""","[""productivity""]",,,,,
"""Event Cadence""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Fund@mental""","[""eCommerce""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Missed Booking""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Notes2Conf""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MamanClass""","[""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Salons Virtuels Adiona""","[""team-collaborations""]",,,,,
"""Sophya""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""School Recruiter""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Okfit""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Clinivid Meetings""","[""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ViDDD.co""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Snag""","[""productivity""]",,,,,
"""Qodify""","[""eCommerce""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Piazza Talent""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""K-BUILD""","[""eventmanagement"",""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Savante.me""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""StusolsZ""","[""education"",""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Aldeia""","[""learning-development""]",,,,,
"""JustClick.jp""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""go-do""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SCOUT AU""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""IntergratewithCandaly""","[""scheduling-calendar""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Natural Therapy Pages""","[""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VideoLab OAuth""","[""education"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Epic""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Marvin - User Interview Companion""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cvent""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Rev Live Captions""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Wix""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Repurpose.io""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Achievers""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Coda Admin""","[""team-collaborations""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Saba Cloud - Webinars""","[""learning-development""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Timer""","[""productivity""]","""Product Usage""",,,,
"""LGN Poker""","[""games""]","""Settings""","""Profile & Contact Information""",,,
"""Funtivity by Hermis""","[""games""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TimeRex""","[""scheduling-calendar""]","""Profile & Contact Information""",,,,
"""dotdigital""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Huntflow""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""eeasy for Members""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""TuCalendi""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TidyCal""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Calendars by Readdle""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Zoho Bookings""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Dot Collector""","[""human-resources"",""productivity"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""RECEPTIONIST""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Boardable""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Glue Up""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cabinet.fm""","[""eventmanagement""]",,,,,
"""Salesken""","[""sales-automation""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Medic Mind Booking""","[""learning-development"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Daylite Zoom Integration""","[""sales-automation""]","""Settings""","""Profile & Contact Information""",,,
"""PagerDuty""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Trafft""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Skoolix""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Crewmojo""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""CompleteCSM.ai - Customer Success Intelligence""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Residency Program Fair""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pulse""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""LINKLET""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""nTask""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Honey""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Fitli for Zoom""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Ovatu""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Berrys App""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Start Booking""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Gooru""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Form Director""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Transposit""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Open eLMS""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cloud Gym""","[""health-care"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""App Palestre""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Vyopta CPM for Zoom Phone""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Device Information""",,
"""m.Care""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""",,,
"""Eleos Health""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""",,,
"""Path""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Acadly""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Demoflow Meeting Scheduler""","[""sales-automation""]",,,,,
"""Localist""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ayoa - The all-in-one online whiteboard""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cyrano Navigate""","[""analytics"",""customer-service"",""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ZMFY""","[""education"",""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Social27 Digital Events""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Schedulr""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""The Bright App""","[""eventmanagement""]","""Profile & Contact Information""",,,,
"""Wellocity Health""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zoom Meeting for Ohmni Robot""","[""health-care"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Interview scheduling software by 100Hires""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Wajooba""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Namaste.fit""","[""health-care"",""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Genyo eLearning""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Atravo""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""EDUcal for users""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Swivl Teams""","[""education"",""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MailCloud""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""manababa""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Casting Workbook""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""OneMob - Edit, Share & Track Video Recordings""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cue Calendar""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Tephrame""","[""scheduling-calendar""]",,,,,
"""Livestack""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Clouderous""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""GoOutfitter""","[""social-activities""]","""Settings""","""Profile & Contact Information""",,,
"""Gozzer""","[""scheduling-calendar""]",,,,,
"""PitchNinjas""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Etomon""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SKY FORCE""","[""sales-automation""]","""Settings""","""Profile & Contact Information""",,,
"""Canopyschool""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Workplace""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""FreeAgent CRM - Zoom Phone CTI""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Life Style Plan""","[""eCommerce""]","""Settings""","""Profile & Contact Information""",,,
"""indemandly""","[""customer-service""]","""Settings""","""Profile & Contact Information""",,,
"""Smarty Software CRM""","[""crm"",""marketing"",""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""The Edge Tutors""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Drive Electric Event Registration""","[""eventmanagement""]",,,,,
"""Answers for Associations""","[""marketing""]","""Settings""","""Profile & Contact Information""",,,
"""Zoom for HubSpot""","[""crm""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Vyopta CPM""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""TeamUp""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Okta Workflows""","[""content-and-compliance""]","""Settings""","""Profile & Contact Information""",,,
"""Lever""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""Virtual Backgrounds""","[""social-activities""]","""Product Usage""",,,,
"""Calero-MDSL - UCaaS Expense Management""","[""analytics"",""eCommerce""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
