NAME,CATEGORY,VIEW1PERMISSION1,VIEW1PERMISSION2,VIEW1PERMISSION3,VIEW1PERMISSION4,VIEW1PERMISSION5
"""ProTrainings Course Scheduler""","[""education"",""learning-development""]",,,,,
"""Gmelius""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""OpenApply""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Zoom for Salesforce""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Bigin by Zoho CRM""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""Workiz""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Liscio""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Almendra""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""OnlyExperts""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ActiveDEMAND""","[""marketing""]","""Settings""","""Profile & Contact Information""",,,
"""Dubber EMEA""","[""recording-transcriptions""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""SuperOffice CRM""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""DashQ for Zoom""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Gymdesk""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""LivingMatrix""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""",,,
"""Examin8 by myCBSEguide""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Taggg""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""MAILPLUG messenger""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Airgram""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""BoomCal""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Freddie Med""","[""health-wellness""]","""Settings""","""Profile & Contact Information""",,,
"""Invitario""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Breeze""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Introwise""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""KloudLearn""","[""education"",""learning-development""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Vbrick Rev - Asia Pacific""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zoom for Smart Training""","[""education"",""eventmanagement""]",,,,,
"""Prox""","[""scheduling-calendar"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""InfluencerSoft""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Enriching Teachers""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Solvably""","[""education"",""learning-development""]",,,,,
"""Mentor Matchmaker""","[""education"",""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Smol Coach - Run your business on video""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""AhoyTeam""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Nutrition Maker""","[""health-care"",""health-wellness""]",,,,,
"""Planyo.com""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Knoblr xmCom""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""V-Unite Virtual Event Experiences""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Sophia High School Online Classes""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""AlltrainedUp""","[""education"",""scheduling-calendar""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Eteach""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Asana moments""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SaaSLicense""","[""analytics""]","""Settings""","""Profile & Contact Information""",,,
"""Maya Virtual Assistant""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Kwivrr""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Panelfox""","[""scheduling-calendar""]",,,,,
"""Flobook""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ontario Mathematics Proficiency Test""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Maoni""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Tutor Platform""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Panopto""","[""recording-transcriptions""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Calendly for Zoom""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Moodle LTI""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Intercom""","[""sales-automation""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Avoma Meeting Assistant""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VI App""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""bsport""","[""social-activities""]",,,,,
"""Equeo""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Genesys Cloud Integration""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pabbly Connect""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
